electricity_usage,car_km,flights_short,flights_long,diet_type,shopping_freq,water_usage,carbon_footprint
202,903,1,0,2,1,358,728.662
535,1238,0,0,1,17,245,744.505
448,973,1,0,1,5,482,787.098
370,631,0,1,2,15,97,1732.473
206,1917,0,0,1,2,428,593.772
171,1590,0,0,1,14,131,630.9989999999999
288,1050,1,0,2,19,158,972.3820000000001
120,1653,0,0,0,9,312,523.808
202,732,0,0,1,8,404,414.87600000000003
221,1254,0,0,0,10,80,494.34000000000003
566,1588,1,0,2,13,407,1138.9830000000002
314,1830,0,0,1,11,105,708.825
430,320,0,0,1,6,404,408.23600000000005
558,912,0,0,2,10,238,718.902
187,1256,1,0,1,16,54,840.226
472,1693,0,0,0,8,335,669.855
199,436,0,0,0,12,327,343.72299999999996
459,780,0,0,2,15,194,700.526
251,1556,0,0,1,2,443,540.6070000000001
230,1426,1,0,1,4,245,774.005
249,1076,1,0,2,16,475,934.055
408,1810,0,0,0,0,76,584.044
357,1336,0,0,0,8,176,548.7239999999999
443,1304,0,0,2,16,184,808.516
591,725,1,0,1,12,72,863.868
513,30,0,0,0,14,380,414.88
393,336,0,0,1,7,166,403.754
485,182,0,0,0,7,441,364.069
291,1046,0,0,1,1,57,441.933
543,543,0,0,0,9,150,478.01000000000005
376,1469,0,0,1,4,310,594.51
260,1097,0,0,2,15,248,680.832
559,1033,0,0,0,18,135,672.595
413,1507,0,0,2,0,277,677.3530000000001
121,1479,0,0,0,12,435,520.535
352,1589,0,0,0,3,228,547.692
335,1587,1,0,0,6,499,822.591
444,659,0,0,1,0,289,420.881
148,159,0,0,0,1,61,154.509
574,1905,0,0,2,15,352,975.2479999999999
158,1037,0,0,1,13,283,506.307
269,1201,0,0,1,4,232,495.26800000000003
575,411,0,1,0,13,331,1606.679
287,1901,0,0,1,16,407,764.403
563,1011,0,0,0,11,425,602.485
370,52,0,0,2,19,478,560.102
289,407,1,0,1,11,239,664.9309999999999
545,846,0,0,1,2,375,521.475
274,1045,1,0,2,1,264,786.4559999999999
545,1053,1,0,2,14,307,1032.263
150,702,1,0,0,10,75,604.0749999999999
463,259,1,0,1,9,319,689.131
154,1228,0,0,2,17,131,681.459
343,1082,1,0,1,1,407,724.123
419,1494,0,0,2,6,234,736.886
230,775,0,0,1,6,337,414.63300000000004
584,1489,0,0,2,6,111,804.0790000000001
406,1035,1,0,1,13,420,861.3
234,1654,0,0,0,1,79,489.79100000000005
120,1950,0,0,1,1,446,554.414
428,1997,0,0,0,14,473,773.417
266,1313,0,0,0,10,80,525.0400000000001
373,849,0,0,0,9,342,469.538
487,1783,0,0,1,2,222,683.138
188,353,1,0,1,16,151,660.919
415,1662,0,0,0,8,177,638.293
113,1098,1,0,2,14,135,858.275
341,872,0,0,1,13,364,550.896
364,1739,0,0,1,18,77,781.373
445,1584,1,0,1,16,171,1015.239
152,1614,1,0,1,19,300,929.34
485,1464,0,0,0,16,110,707.49
439,990,0,0,2,15,452,736.448
191,1264,0,0,2,19,220,725.0
466,1017,0,0,2,7,492,673.548
543,1884,0,0,2,6,321,867.749
554,1177,0,0,0,11,374,631.4459999999999
527,1809,0,0,1,0,349,686.281
363,1119,0,0,1,11,162,587.718
530,1749,0,1,0,5,243,1774.587
134,293,0,0,1,15,443,368.867
305,208,0,0,0,17,480,394.02
180,1366,0,0,2,18,68,729.4119999999999
519,1111,0,0,0,2,389,513.681
149,817,0,0,1,2,142,347.25800000000004
459,1799,0,0,1,4,266,694.974
487,1960,1,1,1,2,228,2068.592
101,389,0,0,2,18,446,504.23400000000004
489,324,0,0,0,4,240,362.34000000000003
153,939,0,0,0,13,449,436.101
205,888,0,0,1,15,486,518.0740000000001
359,1855,0,0,0,0,212,573.688
409,1180,0,0,1,16,149,669.121
576,667,0,0,0,10,236,527.444
290,1674,0,0,2,8,344,739.696
501,632,0,0,2,3,116,567.8639999999999
317,576,0,0,0,1,122,309.438
143,1642,0,0,2,8,281,670.989
261,1682,1,0,2,4,238,938.162
301,136,0,0,2,3,99,384.511
545,1946,1,0,1,4,358,1011.322
583,1697,0,0,0,17,351,807.419
369,427,0,0,0,12,357,413.593
